feature_name,display_name,group_name,source_layer,formula,supports_snapshot,ui_snapshot_visible,ui_health_visible,sample_health_coverage,retention_action,risk_flags,tags
circ_mv,circ_mv,fundamental,raw,$circ_mv,True,True,True,1.0,keep_with_review,pit_review,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
current_ratio,current_ratio,fundamental,raw,$current_ratio,True,True,True,0.832776,keep_with_review,pit_review,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
debt_to_assets,debt_to_assets,fundamental,raw,$debt_to_assets,True,True,True,0.996656,keep_with_review,pit_review,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
equity,equity,fundamental,raw,$equity,True,True,True,0.983278,keep_with_review,pit_review,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
grossprofit_margin,grossprofit_margin,fundamental,raw,$grossprofit_margin,True,True,True,0.832776,keep_with_review,pit_review,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
net_income,net_income,fundamental,raw,$net_income,True,True,True,0.989967,keep_with_review,pit_review,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
op_cashflow,op_cashflow,fundamental,raw,$op_cashflow,True,True,True,0.983278,keep_with_review,pit_review,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
pb,pb,fundamental,raw,$pb,True,True,True,0.989967,keep_with_review,pit_review,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
pe,pe,fundamental,raw,$pe,True,True,True,0.949833,keep_with_review,pit_review,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
revenue,revenue,fundamental,raw,$revenue,True,True,True,0.989967,keep_with_review,pit_review,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
total_assets,total_assets,fundamental,raw,$total_assets,True,True,True,0.983278,keep_with_review,pit_review,"adapter_field,model:qlib_lgbm_semantic_all_features,research_ui"
