feature_id,feature_name,feature_group,kind,source_table,dependencies,compute_fn,pit_rule,cacheable,formula,yaml_refs,registry_refs,status,notes
close_to_open_gap_1d,close_to_open_gap_1d,microstructure,derived,,,build_microstructure_features,rolling_past,no,Close-to-open gap ratio (prev close / today open),value_growth_60d_full_price_volume_features,microstructure,active,
open_to_close_ret,open_to_close_ret,microstructure,derived,,,build_microstructure_features,rolling_past,no,Open-to-close intraday return,value_growth_60d_full_price_volume_features,microstructure,active,
close_pos_in_range,close_pos_in_range,microstructure,derived,,,build_microstructure_features,rolling_past,no,Close position within daily high-low range,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,microstructure,active,
open_pos_in_range,open_pos_in_range,microstructure,derived,,,build_microstructure_features,rolling_past,no,Open position within daily high-low range,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,microstructure,active,
upper_shadow_ratio,upper_shadow_ratio,microstructure,derived,,,build_microstructure_features,rolling_past,no,Upper shadow length relative to daily range,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,microstructure,active,
lower_shadow_ratio,lower_shadow_ratio,microstructure,derived,,,build_microstructure_features,rolling_past,no,Lower shadow length relative to daily range,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,microstructure,active,
intraday_reversal_strength,intraday_reversal_strength,microstructure,derived,,,build_microstructure_features,rolling_past,no,Intraday reversal magnitude (|close - open| / range),alpha_v1_clean_132; value_growth_60d_full_price_volume_features,microstructure,active,
turnover_rate,turnover_rate,liquidity,derived,,,build_liquidity_features,rolling_past,no,Share turnover rate (volume / free float shares),value_growth_60d_full_price_volume_features,liquidity,active,
amount_log,amount_log,liquidity,derived,,,build_liquidity_features,rolling_past,no,Log of trading amount,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,liquidity,active,
amount_zscore_20,amount_zscore_20,liquidity,derived,,,build_liquidity_features,rolling_past,no,Cross-sectional z-score of 20d avg amount,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,liquidity,active,
volume_shock_3,volume_shock_3,liquidity,derived,,,build_liquidity_features,rolling_past,no,Volume ratio vs 3d average,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,liquidity,active,
volume_shock_5,volume_shock_5,liquidity,derived,,,build_liquidity_features,rolling_past,no,Volume ratio vs 5d average,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,liquidity,active,
turnover_acceleration,turnover_acceleration,liquidity,derived,,,build_liquidity_features,rolling_past,no,Change in turnover rate vs previous period,alpha_v1_clean_132; value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features,liquidity,active,
illiquidity,illiquidity,liquidity,derived,,,build_liquidity_features,rolling_past,no,Amihud illiquidity ratio (|ret| / amount),value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features,liquidity,active,
is_limit_up,is_limit_up,tradability,derived,,,build_tradability_features,rolling_past,no,Binary: stock hit limit-up today,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,tradability,active,
is_limit_down,is_limit_down,tradability,derived,,,build_tradability_features,rolling_past,no,Binary: stock hit limit-down today,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,tradability,active,
distance_to_limit_up,distance_to_limit_up,tradability,derived,,,build_tradability_features,rolling_past,no,Price distance to limit-up threshold,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features,tradability,active,
distance_to_limit_down,distance_to_limit_down,tradability,derived,,,build_tradability_features,rolling_past,no,Price distance to limit-down threshold,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features,tradability,active,
limit_up_count_5d,limit_up_count_5d,tradability,derived,,,build_tradability_features,rolling_past,no,Number of limit-up days in past 5 sessions,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,tradability,active,
tradability_score,tradability_score,tradability,derived,,,build_tradability_features,rolling_past,no,Composite tradability score,alpha_v1_clean_132; value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features,tradability,active,
opened_from_limit_up,opened_from_limit_up,tradability,derived,,,build_tradability_features,rolling_past,no,Binary: stock opened from limit-up state,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,tradability,active,
ret_1d,ret_1d,relative_strength,derived,,,build_relative_strength_features,rolling_past,no,1-day close return,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,relative_strength,active,
ret_3d,ret_3d,relative_strength,derived,,,build_relative_strength_features,rolling_past,no,3-day close return,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,relative_strength,active,
ret_5d,ret_5d,relative_strength,derived,,,build_relative_strength_features,rolling_past,no,5-day close return,alpha_v1_clean_132; value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features,relative_strength,active,
vol_mean_3d,vol_mean_3d,relative_strength,derived,,,build_relative_strength_features,rolling_past,no,3-day average volume,value_growth_60d_full_price_volume_features,relative_strength,active,
vol_mean_5d,vol_mean_5d,relative_strength,derived,,,build_relative_strength_features,rolling_past,no,5-day average volume,value_growth_60d_full_price_volume_features,relative_strength,active,
amount_mean_3d,amount_mean_3d,relative_strength,derived,,,,rolling_past,no,3-day average trading amount,value_growth_60d_full_price_volume_features,relative_strength,active,
amount_mean_5d,amount_mean_5d,relative_strength,derived,,,,rolling_past,no,5-day average trading amount,value_growth_60d_full_price_volume_features,relative_strength,active,
ret_1d_rank,ret_1d_rank,relative_strength,derived,,,,rolling_past,no,Cross-sectional rank of 1d return,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,relative_strength,active,
ret_3d_rank,ret_3d_rank,relative_strength,derived,,,,rolling_past,no,Cross-sectional rank of 3d return,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,relative_strength,active,
ret_5d_rank,ret_5d_rank,relative_strength,derived,,,,rolling_past,no,Cross-sectional rank of 5d return,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,relative_strength,active,
vol_mean_3d_rank,vol_mean_3d_rank,relative_strength,derived,,,,rolling_past,no,Cross-sectional rank of 3d avg volume,value_growth_60d_full_price_volume_features,relative_strength,active,
vol_mean_5d_rank,vol_mean_5d_rank,relative_strength,derived,,,,rolling_past,no,Cross-sectional rank of 5d avg volume,value_growth_60d_full_price_volume_features,relative_strength,active,
amount_mean_3d_rank,amount_mean_3d_rank,relative_strength,derived,,,,rolling_past,no,Cross-sectional rank of 3d avg amount,value_growth_60d_full_price_volume_features,relative_strength,active,
amount_mean_5d_rank,amount_mean_5d_rank,relative_strength,derived,,,,rolling_past,no,Cross-sectional rank of 5d avg amount,value_growth_60d_full_price_volume_features,relative_strength,active,
stock_minus_index_ret_3d,stock_minus_index_ret_3d,relative_strength,derived,,,,rolling_past,no,Stock 3d return minus index 3d return,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,relative_strength,active,
stock_minus_index_ret_5d,stock_minus_index_ret_5d,relative_strength,derived,,,,rolling_past,no,Stock 5d return minus index 5d return,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,relative_strength,active,
stock_minus_industry_ret_3d,stock_minus_industry_ret_3d,relative_strength,derived,,,,cross_sectional,no,Stock 3d return minus industry 3d return,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,relative_strength,active,
stock_minus_industry_ret_5d,stock_minus_industry_ret_5d,relative_strength,derived,,,,cross_sectional,no,Stock 5d return minus industry 5d return,alpha_v1_clean_132; value_growth_60d_full_price_volume_features,relative_strength,active,
ret_20d,ret_20d,relative_strength,derived,,,build_relative_strength_features,rolling_past,yes,20-day close return,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
ret_60d,ret_60d,relative_strength,derived,,,build_relative_strength_features,rolling_past,yes,60-day close return,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_existing_price_volume; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,relative_strength,active,
