feature,source,fields,available_now,tushare_needed,pit_key,feasibility,notes
is_profitable_ttm,qlib fina_indicator (net_income) or Tushare income,"$net_income, ann_date",partial,recommended: Tushare income for TTM construction,ann_date (merge_asof),medium,$net_income exists in qlib fina_indicator but without ann_date for PIT. Tushare income(ann_date) gives strict PIT. $net_income values at trade_date level from qlib may already be PIT-forward-filled.
is_profitable_latest_q,Tushare income (deduce from cumulative),"ann_date, net_profit cumulative per quarter",no,yes: Tushare income API,ann_date (merge_asof),medium,Requires Tushare income table. Must deduct cumulative net_profit to get single-quarter value. PIT possible via ann_date.
single_q_revenue_yoy,"Tushare income (deduce from cumulative, then yoy)","ann_date, revenue cumulative per quarter",no,yes: Tushare income API,ann_date (merge_asof),medium,Same as above: cumulative → single quarter → yoy vs same quarter last year.
ttm_revenue_yoy,qlib fina_indicator ($revenue) or Tushare income,"$revenue, ann_date",partial,recommended: Tushare income for ann_date PIT,ann_date (merge_asof),medium,$revenue in qlib fina_indicator. For strict PIT need ann_date from Tushare income. qlib forward-fill may approximate.
revenue_yoy_above_40,derived from #3 or #4,single_q_revenue_yoy or ttm_revenue_yoy,no (depends on #3/4),same as #3/4,ann_date (merge_asof),medium,Binary derived from continuous yoy. Feasibility same as #3/4.
revenue_growth_consistency_4q,derived from Tushare income (4 quarters of yoy),single_q_revenue_yoy × 4 quarters,no,yes: Tushare income API,ann_date (merge_asof),medium,Requires 4 consecutive quarters of data. Coverage will be lower in early period.
breakout_252d_high,qlib ($close) — already available in current feature set,$close,yes,no,trade_date (no PIT concern),high,Can be constructed from close.rolling(252).max() directly. No external data needed.
days_since_252d_high,qlib ($close) — from same rolling calc,$close,yes,no,trade_date (no PIT concern),high,Count days since close last hit rolling(252).max(). Computation-heavy but feasible.
gross_margin_delta_qoq_or_yoy,qlib fina_indicator ($grossprofit_margin) for daily; Tushare income for quarterly,"$grossprofit_margin or Tushare income(x_sprofit, revenue)",partial,recommended: Tushare income for single-quarter margin,ann_date (merge_asof),medium,Daily grossprofit_margin from qlib is the fina_indicator rolling value. Single-quarter margin requires Tushare income.
contract_liability_yoy,Tushare balancesheet,"ann_date, contract_liability (新准则)",no,yes: Tushare balancesheet API,ann_date (merge_asof),low,Contract liability is new accounting standard (2018+). Not available in qlib. Requires Tushare balancesheet. Coverage pre-2018 is zero.
advance_receipts_yoy,Tushare balancesheet,"ann_date, advance_receipts",no,yes: Tushare balancesheet API,ann_date (merge_asof),low,After 2018 many companies moved advance_receipts to contract_liability. Need both fields merged. No qlib equivalent.
forecast_profit_yoy_mid,Tushare forecast,"ann_date, profit_min, profit_max, yoy_min, yoy_max",no,yes: Tushare forecast API,ann_date (merge_asof),medium,"Tushare forecast table has ann_date. Coverage ~30-60% of stocks depending on exchange rules (SZ mandatory, SH optional). PIT strictly via ann_date."
forecast_type_score,Tushare forecast,"ann_date, forecast_type (pre-profit/loss/new loss/etc.)",no,yes: Tushare forecast API,ann_date (merge_asof),high,Same source as #12. The type mapping is rule-based. High feasibility if Tushare forecast is available.
express_revenue_yoy,Tushare express,"ann_date, revenue",no,yes: Tushare express API,ann_date (merge_asof),medium,Tushare express has ann_date. Coverage ~40-50% of stocks. Annual express more common than quarterly.
express_profit_yoy,Tushare express,"ann_date, net_profit",no,yes: Tushare express API,ann_date (merge_asof),medium,Same as #14.
